OBJECTID,Lat,Long,zipcode
53119,42.28623938,-71.12976837,2131
53120,42.28607619,-71.12971978,2131
53121,42.28615791,-71.12963421,2131
53122,42.28599095,-71.12957881,2131
53123,42.28607618,-71.12949574,2131
53124,42.28590584,-71.1294333,2131
53125,42.28598544,-71.12934765,2131
53126,42.2858118,-71.12927938,2131
53127,42.28589635,-71.12919485,2131
53128,42.28486481,-71.12800374,2131
53129,42.28488804,-71.12788921,2131
53130,42.28456929,-71.12754611,2131
53131,42.28448944,-71.12752169,2131
53132,42.28448538,-71.12728233,2131
53133,42.28428214,-71.12688631,2131
53134,42.28441124,-71.1270745,2131
53135,42.28468479,-71.12716944,2131
53136,42.28581269,-71.12905727,2131
53137,42.28573211,-71.1291479,2131
53138,42.28631248,-71.12968369,2131
53139,42.28638858,-71.12959553,2131
53140,42.28645507,-71.12951875,2131
53141,42.2867857,-71.13018483,2131
53142,42.28699126,-71.13050383,2131
53143,42.28700958,-71.13064293,2131
53144,42.28715702,-71.13086495,2131
53145,42.28722421,-71.13110263,2131
53146,42.28742443,-71.13101342,2131
53147,42.28754073,-71.13124179,2131
53148,42.28762314,-71.13158901,2131
53149,42.28780527,-71.13143352,2131
53150,42.28762505,-71.13107789,2131
53151,42.28761678,-71.13095059,2131
53152,42.28730826,-71.13079189,2131
53153,42.28750402,-71.13070372,2131
53154,42.28722911,-71.13058675,2131
53155,42.28709551,-71.13032604,2131
53156,42.2870457,-71.13032603,2131
53157,42.28688986,-71.12993441,2131
53158,42.28616258,-71.12891766,2131
53159,42.28486721,-71.12737347,2131
53160,42.28468254,-71.12701148,2131
53161,42.28598952,-71.12850764,2131
53162,42.28608313,-71.1286402,2131
53163,42.28633381,-71.12890093,2131
53164,42.28665106,-71.12940062,2131
53165,42.28705282,-71.12994065,2131
53166,42.28715485,-71.13000236,2131
53167,42.28717597,-71.13008664,2131
53168,42.28710036,-71.13015834,2131
53169,42.2872964,-71.13035955,2131
53170,42.28738571,-71.13051394,2131
53171,42.28750565,-71.13055643,2131
53172,42.2876617,-71.13075391,2131
53173,42.28768188,-71.13084126,2131
53174,42.28773596,-71.13097369,2131
53175,42.28787943,-71.13096183,2131
53176,42.2879882,-71.13128936,2131
53177,42.28802614,-71.13123239,2131
53178,42.28819821,-71.13156865,2131
53179,42.28831464,-71.13184717,2131
53180,42.28840275,-71.13178043,2131
53181,42.28876429,-71.13189079,2131
53182,42.2882733,-71.13148161,2131
53183,42.28812176,-71.13118481,2131
53184,42.28796892,-71.13090077,2131
53185,42.28783991,-71.13066028,2131
53186,42.28775558,-71.13051441,2131
53187,42.28766359,-71.13044683,2131
53188,42.28755055,-71.13031957,2131
53189,42.28741083,-71.13020135,2131
53190,42.28740937,-71.12998426,2131
