OBJECTID,Lat,Long,zipcode
45285,42.31668038,-71.08816653,02121
45286,42.31745821,-71.08728528,02121
45287,42.31768955,-71.08697644,02121
45288,42.31791929,-71.08727832,02121
45289,42.31798362,-71.08772047,02121
45290,42.3181266,-71.08816692,02121
45291,42.31811584,-71.08863878,02121
45292,42.31786283,-71.08861143,02121
45293,42.31769607,-71.08972367,02119
45294,42.31696275,-71.08597024,02121
45295,42.31685984,-71.08478185,02119
45296,42.31672859,-71.08454333,02121
45297,42.31678507,-71.08424999,02119
45298,42.3166151,-71.08402835,02121
45299,42.31664612,-71.08372634,02119
45300,42.31672294,-71.09289768,02121
45301,42.31720448,-71.0926066,02119
45302,42.31736297,-71.09030116,02119
45303,42.31918731,-71.09001371,02119
45304,42.31686315,-71.08283446,02119
45305,42.31716809,-71.08266704,02119
45306,42.31738515,-71.08217793,02119
45307,42.31710493,-71.08235505,02119
45308,42.31678694,-71.08256106,02119
45309,42.3171107,-71.08164398,02119
45310,42.31727599,-71.08171433,02119
45311,42.3173614,-71.08198486,02119
45312,42.31751012,-71.08203212,02119
45313,42.31715327,-71.08298435,02119
45314,42.31866917,-71.08622469,02119
45315,42.31858292,-71.08604979,02119
45316,42.31841126,-71.08628079,02119
45317,42.31889787,-71.08617316,02119
45318,42.31900658,-71.08619476,02119
45319,42.31909228,-71.08647638,02119
45320,42.31926644,-71.08657478,02119
45321,42.31916571,-71.08622918,02119
45322,42.31931201,-71.08636542,02119
45323,42.31920494,-71.08683763,02119
45324,42.31932129,-71.08718056,02119
45325,42.31942176,-71.08671364,02119
45326,42.31941329,-71.086508,02119
45327,42.31961136,-71.08607698,02119
45328,42.31961689,-71.08588442,02119
45329,42.31938297,-71.08589827,02119
45330,42.31938409,-71.08609122,02119
45331,42.31883143,-71.08598799,02119
45332,42.31953245,-71.08687944,02119
45333,42.31953724,-71.08704778,02119
45334,42.31964544,-71.08718868,02119
45335,42.31965671,-71.08737654,02119
45336,42.31949338,-71.08728655,02119
45337,42.3194447,-71.08751636,02119
45338,42.31957892,-71.08784867,02119
45339,42.31972144,-71.08817818,02119
45340,42.31974029,-71.08795141,02119
45341,42.31913991,-71.08555093,02119
45342,42.31934191,-71.08559084,02119
45343,42.31903497,-71.08539109,02119
45344,42.31903792,-71.08518223,02119
45345,42.31892913,-71.08501798,02119
45346,42.31893319,-71.08481577,02119
45347,42.31882498,-71.08465424,02119
45348,42.31882344,-71.08444004,02119
45349,42.31872475,-71.08430001,02119
45350,42.31872051,-71.08407309,02119
45351,42.3186175,-71.08392233,02119
45352,42.31861657,-71.08370966,02119
45353,42.31851075,-71.08354977,02119
45354,42.3185088,-71.08333435,02119
45355,42.3184039,-71.08316645,02119
45356,42.31829778,-71.08279482,02119
45357,42.31819426,-71.08243203,02119
45358,42.31819634,-71.0822294,02119
45359,42.31775952,-71.08232083,02119
45360,42.31780621,-71.08214563,02119
45361,42.31781079,-71.08195481,02119
45362,42.31816646,-71.0817779,02119
45363,42.31816783,-71.08195621,02119
45364,42.31827862,-71.08205837,02119
45365,42.31797771,-71.08255455,02119
45366,42.31808219,-71.08291501,02119
45367,42.31824715,-71.08304426,02119
45368,42.31818592,-71.083285,02119
45369,42.31829102,-71.08365387,02119
45370,42.3182749,-71.08385149,02119
45371,42.31842774,-71.08439181,02119
45372,42.31797796,-71.08462421,02119
45373,42.31782406,-71.08408234,02119
45374,42.31796586,-71.08497278,02119
45375,42.31682789,-71.08126218,02119
45376,42.31673569,-71.08096853,02119
45377,42.31705214,-71.08141103,02119
45378,42.31755489,-71.08123582,02119
45379,42.31733861,-71.08041102,02119
45380,42.31987019,-71.08824681,02119
45381,42.31985397,-71.08848024,02119
45382,42.31889084,-71.0857718,02119
45383,42.31913263,-71.08573514,02119
45384,42.31881595,-71.08550471,02119
45385,42.31860756,-71.08477874,02119
45386,42.31845761,-71.08379975,02119
45387,42.31828569,-71.08590902,02119
45388,42.31740831,-71.0856169,02119
45389,42.31711442,-71.08531084,02121
45390,42.31702802,-71.08565889,02121
45391,42.31727434,-71.08588906,02121
45392,42.320472,-71.09010537,02119
45393,42.32124199,-71.08782647,02119
45394,42.32199794,-71.08797494,02119
45395,42.32198527,-71.08759836,02119
45396,42.32198882,-71.08733534,02119
45397,42.32182045,-71.08745742,02119
45398,42.32156643,-71.08713577,02119
45399,42.32159244,-71.08691944,02119
45400,42.3215053,-71.08685075,02119
45401,42.32158438,-71.08667001,02119
45402,42.32133253,-71.08685227,02119
45403,42.32114294,-71.08707582,02119
45404,42.32101226,-71.08717949,02119
45405,42.32066975,-71.0859401,02119
45406,42.32075899,-71.08611961,02119
45407,42.3209846,-71.0859984,02119
45408,42.32093919,-71.08584008,02119
45409,42.32115141,-71.08569075,02119
45410,42.32120799,-71.08584114,02119
45411,42.32180231,-71.08685161,02119
45412,42.32194292,-71.08667562,02119
45413,42.32206911,-71.08648758,02119
45414,42.32159902,-71.08632338,02119
45415,42.32142978,-71.086128,02119
45416,42.32140122,-71.08581467,02119
45417,42.3213792,-71.0855287,02119
45418,42.32127343,-71.08548328,02119
45419,42.321122,-71.08533458,02119
45420,42.3211023,-71.08505774,02119
45421,42.3209338,-71.08486032,02119
45422,42.32088566,-71.08451216,02119
45423,42.3207503,-71.08455241,02119
45424,42.32075499,-71.0842823,02119
45425,42.32061777,-71.08479775,02119
45426,42.32040109,-71.08485795,02119
45427,42.32028203,-71.08488972,02119
45428,42.32028719,-71.0850857,02119
45429,42.32008205,-71.08513411,02119
45430,42.32005045,-71.08529172,02119
45431,42.31975494,-71.08542408,02119
45432,42.31979478,-71.08563078,02119
45433,42.31946757,-71.0853431,02119
45434,42.31947338,-71.08491722,02119
45435,42.31960079,-71.08507926,02119
45436,42.31962757,-71.08472239,02119
45437,42.31978127,-71.08483984,02119
