,OBJECTID,Lat,Long,zipcode
77,23272,42.37043377,-71.03215001,2128
78,23273,42.37128835,-71.03331836,2128
79,23274,42.37123307,-71.033422,2128
80,23275,42.37134398,-71.03351288,2128
81,23276,42.3713095,-71.03351697,2128
82,23277,42.36975414,-71.03146862,2128
83,23278,42.36894807,-71.03035288,2128
84,23279,42.36872478,-71.03003959,2128
85,23280,42.36866802,-71.02981215,2128
86,23281,42.37168202,-71.03114684,2128
87,23282,42.37071891,-71.03115462,2128
88,23283,42.37201829,-71.03341372,2128
89,23284,42.37089278,-71.0321879,2128
90,23285,42.36917543,-71.02952293,2128
91,23286,42.37257772,-71.03267558,2128
92,23287,42.36877768,-71.03000282,2128
93,23288,42.37376902,-71.03100146,2128
94,23289,42.37330751,-71.03041823,2128
95,23290,42.3732233,-71.03023802,2128
96,23291,42.3732174,-71.0301588,2128
97,23292,42.37310138,-71.03010622,2128
98,23293,42.37296551,-71.02999228,2128
99,23294,42.37283275,-71.02987697,2128
100,23295,42.37282456,-71.02978469,2128
101,23296,42.37270498,-71.0295485,2128
102,23297,42.37247171,-71.02933644,2128
103,23298,42.37222866,-71.02907883,2128
104,23299,42.37158274,-71.02783583,2128
105,23300,42.37127592,-71.02746511,2128
106,23301,42.37073455,-71.02692469,2128
107,23302,42.37081689,-71.02680031,2128
108,23303,42.37041215,-71.02628434,2128
109,23304,42.37009845,-71.02605449,2128
110,23305,42.36985731,-71.02577114,2128
111,23306,42.36984848,-71.02579705,2128
112,23307,42.36991312,-71.02587478,2128
113,23308,42.3696277,-71.02550627,2128
114,23309,42.37034575,-71.0264983,2128
115,23310,42.37029904,-71.02668229,2128
116,23311,42.37062499,-71.02714561,2128
117,23312,42.37084544,-71.02731144,2128
118,23313,42.37098874,-71.0276146,2128
119,23314,42.37118834,-71.02781734,2128
120,23315,42.37140838,-71.02807473,2128
121,23316,42.37161322,-71.02832715,2128
122,23317,42.37183413,-71.02860037,2128
123,23318,42.37201916,-71.02882871,2128
124,23319,42.37205328,-71.02916478,2128
125,23320,42.37216338,-71.02931327,2128
126,23321,42.37205107,-71.0292521,2128
127,23322,42.37228075,-71.02944974,2128
128,23323,42.37241458,-71.02956123,2128
129,23324,42.37256032,-71.02965293,2128
130,23325,42.37269759,-71.02976513,2128
131,23326,42.37327421,-71.0308417,2128
132,23327,42.37331795,-71.03086088,2128
133,23328,42.37344801,-71.03100244,2128
134,23329,42.37362486,-71.03130563,2128
135,23330,42.37323976,-71.03105171,2128
136,23331,42.3732027,-71.03101426,2128
137,23332,42.37307144,-71.03090653,2128
138,23333,42.37233928,-71.02990665,2128
139,23334,42.37226177,-71.02971361,2128
140,23335,42.37193174,-71.02902705,2128
141,23336,42.37181189,-71.02889019,2128
142,23337,42.37171957,-71.02888572,2128
143,23338,42.37169413,-71.02875422,2128
144,23339,42.37157405,-71.02861865,2128
145,23340,42.37145398,-71.02848307,2128
146,23341,42.37141812,-71.02854063,2128
147,23342,42.37132947,-71.0283545,2128
148,23343,42.37121048,-71.02822105,2128
149,23344,42.37108301,-71.02802454,2128
150,23345,42.37098647,-71.02787808,2128
151,23346,42.37088053,-71.02775077,2128
152,23347,42.37076326,-71.02763708,2128
153,23348,42.37076618,-71.02741606,2128
154,23349,42.37060333,-71.02729344,2128
155,23350,42.37024911,-71.02695534,2128
156,23351,42.37027412,-71.02712716,2128
157,23352,42.36956253,-71.02580178,2128
158,23353,42.36944259,-71.02570683,2128
159,23354,42.36926331,-71.02595452,2128
160,23355,42.36954351,-71.02601415,2128
161,23356,42.36967434,-71.02626567,2128
162,23357,42.36970056,-71.02621612,2128
163,23358,42.36997837,-71.02658216,2128
164,23359,42.37035227,-71.02733599,2128
165,23360,42.37027399,-71.02739462,2128
166,23361,42.37050302,-71.02740752,2128
167,23362,42.3706332,-71.02751311,2128
168,23363,42.37054224,-71.02770143,2128
169,23364,42.37072242,-71.02780895,2128
170,23365,42.37079993,-71.02782142,2128
171,23366,42.37097444,-71.02821655,2128
172,23367,42.37102135,-71.02823875,2128
173,23368,42.37311981,-71.03120068,2128
174,23369,42.37309159,-71.03114974,2128
175,23370,42.37342134,-71.03154269,2128
